"01p07nea","06p07nea","94p07nea"
0.029785603,-0.090460241,-0.257541537
0.002189726,-0.047305673,-0.086260617
-0.001995981,-0.046861306,-0.086007118
-0.002292335,-0.032449305,-0.087447166
-0.00314942,-0.032855004,-0.087347806
0.00541231,-0.03499122,-0.088998437
-0.003996938,-0.027705044,-0.08956784
-0.002370358,-0.033059701,-0.091308534
-0.006275892,-0.029744223,-0.091967583
-0.003616154,-0.036426067,-0.093962073
-0.00191766,-0.028987467,-0.094753802
-0.000533499,-0.028184764,-0.096953332
0.005221099,-0.024321314,-0.097759962
0.005020753,-0.019301679,-0.09996891
0.006473847,-0.01492127,-0.100276828
0.006303228,-0.013496317,-0.101028144
0.003200166,-0.015054736,-0.099286973
-0.002512485,-0.014354944,-0.09762001
-0.010698482,-0.016036242,-0.092711568
-0.021040991,-0.01537621,-0.086628437
-0.024368495,-0.014873564,-0.077582121
-0.039186239,-0.015407026,-0.067104459
-0.044033438,-0.006266564,-0.053868324
-0.049587086,0.001606777,-0.041107312
-0.04716453,0.006925762,-0.028181076
-0.037601799,0.00838019,-0.018918514
-0.020228952,0.00513418,-0.01295352
0.005658925,0.000925258,-0.013841629
0.032510161,-0.007959038,-0.021671891
0.063377202,-0.023385763,-0.037201963
0.0874753,-0.042239696,-0.058627605
0.102996349,-0.065638602,-0.085894644
0.10471952,-0.095380366,-0.113192141
0.09013617,-0.129991949,-0.143333972
0.056259945,-0.166104972,-0.173873723
0.002632461,-0.200492978,-0.211611271
-0.073521316,-0.232678115,-0.257831156
-0.162863672,-0.264493823,-0.314921677
-0.258742332,-0.293415785,-0.374986291
-0.36005491,-0.320266604,-0.437034369
-0.462889671,-0.337253511,-0.489969134
-0.558339536,-0.33910358,-0.526083231
-0.628073692,-0.325087547,-0.533837318
-0.660813212,-0.301029623,-0.499476016
-0.638891459,-0.268324435,-0.394536734
-0.556512713,-0.220406771,-0.208664
-0.400029421,-0.13592118,0.067569554
-0.171157598,0.010485575,0.412877798
0.129546881,0.233157218,0.806749701
0.474556625,0.52490449,1.190943718
0.826456666,0.846331477,1.525613785
1.14003849,1.146327972,1.765917778
1.364614487,1.354458809,1.87432766
1.477288246,1.428084373,1.82608223
1.47262001,1.37096405,1.633992195
1.383282661,1.219157219,1.310398102
1.250478745,1.041302681,0.985695422
1.107860565,0.861353695,0.715073526
0.927245975,0.660487413,0.436025918
0.713124156,0.450956583,0.156440914
0.479393899,0.24635005,-0.109961271
0.254094541,0.068789244,-0.345974445
0.048968628,-0.085882366,-0.544187903
-0.140998125,-0.223413646,-0.697962999
-0.311508358,-0.345669508,-0.806270123
-0.463582635,-0.444313109,-0.882034898
-0.581022561,-0.504068792,-0.926384211
-0.661003411,-0.523691297,-0.943392515
-0.694615602,-0.503954411,-0.928838015
-0.688555121,-0.464845419,-0.886211038
-0.648180723,-0.420531392,-0.812788308
-0.585860968,-0.377785146,-0.71350646
-0.512007415,-0.332466304,-0.590470552
-0.427967548,-0.280056179,-0.444113612
-0.339945793,-0.223362446,-0.273165762
-0.244488597,-0.161152363,-0.092927277
-0.142727137,-0.097544968,0.082042575
-0.032001927,-0.029807609,0.227762997
0.074112654,0.039105326,0.333071709
0.167871237,0.09192884,0.389446199
0.234989941,0.111766934,0.392165959
0.267563522,0.076041877,0.335861981
0.258861005,-0.011383861,0.229737878
0.216546178,-0.13487035,0.092117488
0.145383954,-0.262251854,-0.049882084
0.050785005,-0.358698606,-0.18274188
-0.067305803,-0.413074493,-0.310560167
-0.200467169,-0.424870491,-0.434457123
-0.331259429,-0.403670907,-0.531710029
