"01p07nea","06p07nea","94p07nea"
-0.038821392,-0.098233461,-0.234301329
-0.02911471,-0.055946089,-0.086819954
-0.030780582,-0.052750528,-0.085315287
-0.027392022,-0.041639581,-0.085745446
-0.030509003,-0.037836775,-0.083414115
-0.027515553,-0.039962415,-0.083041377
-0.030836288,-0.034275841,-0.081264183
-0.031248588,-0.038199563,-0.082924388
-0.034392849,-0.036206443,-0.084817588
-0.03911465,-0.039159261,-0.088211745
-0.039696395,-0.0365544,-0.090215556
-0.04175508,-0.03504394,-0.094120964
-0.037688125,-0.03150161,-0.096477099
-0.034727383,-0.027093269,-0.099458255
-0.034675576,-0.028508874,-0.100262195
-0.036194321,-0.028967589,-0.102862738
-0.037922855,-0.030777546,-0.09965799
-0.039385419,-0.034170408,-0.097560026
-0.046995617,-0.036048453,-0.088401124
-0.051617533,-0.035353933,-0.086087137
-0.068441033,-0.033386905,-0.077582121
-0.061921526,-0.031870704,-0.067104459
-0.063758716,-0.026012057,-0.056055613
-0.061354611,-0.019506134,-0.042052332
-0.059071988,-0.016206747,-0.044632077
-0.046173222,-0.015742864,-0.049357783
-0.031207116,-0.020743074,-0.057446025
-0.010864558,-0.020282123,-0.075450197
0.018723518,-0.027672244,-0.095826499
0.041366775,-0.048650499,-0.118245684
0.060958222,-0.06358327,-0.139573574
0.077961817,-0.085865863,-0.166239023
0.082084157,-0.120918013,-0.19433561
0.067264996,-0.15592055,-0.220491201
0.027370051,-0.193123087,-0.254760772
-0.031543076,-0.229814902,-0.296399564
-0.109952889,-0.258829236,-0.339020997
-0.194550112,-0.288072646,-0.377992541
-0.279776394,-0.320247382,-0.409088463
-0.362104565,-0.339008808,-0.443392992
-0.455155522,-0.34801209,-0.489969134
-0.54272598,-0.342258781,-0.526083231
-0.590605497,-0.316525459,-0.514074981
-0.616814971,-0.300389379,-0.436341822
-0.592716992,-0.270988584,-0.270606518
-0.49046573,-0.220406771,-0.069727197
-0.310236752,-0.116518475,0.235847548
-0.041808873,0.041886255,0.600371242
0.293992877,0.269968033,0.988737106
0.652445018,0.565347075,1.288601398
0.998591781,0.888264894,1.561707616
1.287345648,1.204416513,1.791151047
1.467468619,1.422294974,1.901967168
1.531778336,1.516855359,1.82608223
1.495145559,1.485414028,1.593522906
1.383834958,1.324536204,1.246444225
1.248167634,1.154388428,0.912826896
1.090528846,0.963432968,0.64110744
0.895599723,0.696462452,0.374809355
0.669813752,0.450956583,0.09490636
0.4265576,0.234231383,-0.151645273
0.18997182,-0.005913109,-0.39488256
-0.026099177,-0.183467656,-0.576355875
-0.216260582,-0.317441642,-0.697962999
-0.388366342,-0.456089944,-0.816538334
-0.538871884,-0.595083475,-0.882034898
-0.641152263,-0.669237137,-0.913201094
-0.723397911,-0.690916121,-0.937915802
-0.749913931,-0.645417452,-0.916748941
-0.746872067,-0.55308038,-0.88681078
-0.706651688,-0.457584411,-0.812788308
-0.633795619,-0.39018634,-0.71350646
-0.543705225,-0.305043608,-0.596476972
-0.424066097,-0.222247124,-0.450485915
-0.316206098,-0.151923433,-0.276723683
-0.213595986,-0.075258113,-0.102270275
-0.113371335,-0.006281,0.065176189
-0.026535541,0.057783023,0.214964852
0.058233209,0.117077947,0.331084013
0.146836504,0.141926274,0.392065644
0.18940936,0.117647633,0.389489472
0.219665527,0.03127449,0.335861981
0.211319625,-0.11644429,0.228436068
0.15762426,-0.26950264,0.073295936
0.070270829,-0.383514345,-0.069433674
-0.028132137,-0.478041679,-0.208137393
-0.139104366,-0.542200863,-0.349029005
-0.250965476,-0.540888608,-0.469745606
-0.36092329,-0.50404954,-0.545981288
-0.435347497,-0.424992114,-0.576003313
-0.499368608,-0.324283808,-0.515084386
-0.518163264,-0.212298512,-0.438522518
-0.499489397,-0.040694632,-0.310478657
-0.397408515,0.08883439,-0.160084292
-0.26112327,0.155838788,0.054655451
-0.116984397,0.241686001,0.247546941
-0.013864279,0.298759758,0.385056674
0.08890219,0.315071821,0.46847707
0.176011205,0.348777205,0.496679515
0.233124927,0.339328468,0.418280363
0.236033663,0.305303276,0.274414033
0.1868646,0.225268111,0.136900946
0.103730202,0.146920353,0.061853573
0.035401028,0.102208324,0.070335411
0.037977718,0.119119234,0.157506198
0.020942044,0.167711183,0.268469125
0.035998903,0.23662436,0.323233068
0.050127588,0.268771261,0.276426017
0.07178992,0.230706081,0.16949977
0.163335294,0.156748265,0.049267221
0.228481442,0.095898874,0.019127678
0.215868697,0.040966664,0.001320602
0.171159342,0.009177111,0.036182918
0.106501289,0.01553987,0.066423155
